Product_Name,Product_Price,Product_Ratings
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",999,3.9 out of 5 stars
"Ambrane 20000 mAh Mini Power Bank with 22.5W Fast Charging, Pocket Size, Triple Output, Type C PD (Input & Output), Li-Polymer, Made in India + Type C Cable (Powerlit XL Lite, Yellow)","1,299",3.9 out of 5 stars
"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India",769,3.9 out of 5 stars
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)","3,999",3.8 out of 5 stars
"FLiX (Beetel) UltraCharge P115 10000mAh 22.5W QC Power Delivery PPS Power Bank, Tripple Output, Dual Input Type C & B, Percentage LED Indicator, Compatible to iPhone, Samsung, Google (XPB-P115)(Blue)",650,3.6 out of 5 stars
"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Black)","1,499",4.6 out of 5 stars
LAPCARE Smart Tank 10000Mah Fast Charging Power Bank | Dual USB Port | Led Indicator | Light Weight | Multi Protocol Support | Multi Circuit Protection | Compact & Slim Design | Made in India,499,3.7 out of 5 stars
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Green)",699,3.8 out of 5 stars
"Anker Power Bank, PowerCore Essential with Digital Display, Patented PowerIQ Technology for Fast Charging iPhone 15, 14, 13, Samsung, Pixel, LG, Other Phones & Tablets","1,419",4.3 out of 5 stars
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Blue, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Speaker, Tablet)","1,999",3.9 out of 5 stars
Amazon Basics 10000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 22.5W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above and Samsung S Series Phones (Black),"1,599",3.2 out of 5 stars
"Redmi 20000mAh Li-Polymer Power Bank, USB Type C and Micro USB Ports, 18W Fast Charging, Low Power Mode, Black","1,699",4.2 out of 5 stars
LAPCARE Bolt Pro 20000Mah Transparent Power Bank | 22watt Type-C PD Fast Charging | Dual USB QC Port | Led Display | Multi Circuit Protection | Made in India,"1,249",4.0 out of 5 stars
"pTron Dynamo Vortex 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung,iPhone, Oneplus, Oppo, 2 Outputs & 1 Input & Multiple Layers of Protection (Black)",899,3.8 out of 5 stars
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Black)","1,399",4.3 out of 5 stars
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Dark Green)","1,299",4.0 out of 5 stars
"OKNO 10000mAh Power Bank 22.5W Wired 15W Magnetic Wireless Super Fast Charging 20W PD Type C, for iPhone 12 & Above, Android Smartphones, Tablets & Other Qi Enabled Devices | Black","2,499",5.0 out of 5 stars
"Duracell 20000 MAH Slimmest Power Bank with 1 Type C PD and 2 USB A Port, 22.5W Fast Charging Portable Charger to Charges 3 Devices Simultaneously for iPhones, Android Phones, Smart Watches & More","3,099",4.2 out of 5 stars
"pTron Dynamo Electra 10000mAh 22.5W Nano Power Bank, Compact Size Fast Charging, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)","1,599",4.6 out of 5 stars
"Boult Newly Launched AmpVault v10 Powerbank with 10000 mAh, 22.5W Fast Charging, LED Display, USB & Type C Input/Output, Overcharge Protection, iPhone & Andriod Mobile Power Bank (Jet Black)","1,099",3.9 out of 5 stars
"pTron Dynamo Nitro 10000mAh 12W Power Bank, Dual USB Charging Ports, 2 Input Ports Type-C & Micro USB, Made in India, Multiple Layers of Protection & BIS Certified (Black)",699,3.8 out of 5 stars
"Xiaomi Pocket Power Bank 10000mAh 22.5W Fast Charging|Inbuilt Cable|Slim & Compact|Power Delivery|QC 3.0|Type-C Input & Output|3 Output Ports|Blue|Supports Android,Apple,Tablets,Earbuds,Watches","1,699",4.2 out of 5 stars
"FLiX(Beetel) PowerXtreme 10,000mAh 12W Slim Power Bank,USB C/Micro USB Input,Dual USB A Output,Compatible with iPhone (Type A to Lightning), Samsung, Google Pixel, Oneplus(Blue-P10)",490,3.6 out of 5 stars
"pTron Dynamo Quanta 10000mAh 22.5W Nano Power Bank, 15W Magnetic Wireless Charging, Compact Size Fast Charging, 20W PD Fast Charging, Built-in Cables, 3 Output Ports & BIS Certified (Black)","1,899",4.6 out of 5 stars
"boAt Pocket Energyshroom PB300 Pro 10000mAh | Compact Power Bank, Type-C Input (2-Way Port), 2X Output Ports, 2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)","1,399",4.0 out of 5 stars
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices","1,999",4.0 out of 5 stars
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Green)","1,699",3.7 out of 5 stars
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Purple, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)","1,599",3.9 out of 5 stars
"boAt EnergyShroom PB300 Air 10000 mAh 22.5W Pocket Size Power Bank with Compact and Lightweight Design, LED Battery Display, 12 Layer Smart IC Protection & Smart Power Management(Carbon Black)","1,348",4.0 out of 5 stars
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Olive, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds,Speaker, Tablet)","2,099",4.1 out of 5 stars
"Amazon Basics 20000 mAh Power Bank | 22.5W Fast Charging | Dual Output & Input | Charge 3 Devices Simultaneously | for Smartphones, TWS Earbuds, Speakers, Tablets (Black)", ,3.8 out of 5 stars
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Black)",899,4.2 out of 5 stars
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",899,4.2 out of 5 stars
"pTron Dynamo Elite 10000mAh 22.5W Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports & Multiple Layers of Protection (Jet Black)",899,3.4 out of 5 stars
"Portronics Power Pebble 5000mAh 20W Fast Charging Powerbank, in-Built Foldable Type C Input/Output Pin, Type C PD Output, LED Battery Indicator, Compatible with Type C Smartphone,iPhone(Black)",949,3.4 out of 5 stars
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Lavender)",668,3.0 out of 5 stars
"Portronics Luxcell Mini 10K Advanced 10000 mAh Smallest Power Bank with 22.5W Max Output, LED Indicator, Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)", ,4.1 out of 5 stars
"ZEBRONICS MB10000S6 Power Bank, 10000 mAh, 12W, 5 x Outputs - Dual USB A | Type C | Micro USB | Lightning, Built in I/O Cables, Percentage Display, Carry Loop, Made in India (Black)",668,3.0 out of 5 stars
Amazon Basics 5000mAh Li-Polymer Wireless Power Bank | Two-Way Fast Charging | 20W Fast Charging Through Wire |15W Wireless Charging| for iPhone 12 and Above (White),949,3.3 out of 5 stars
"boAt Energyshroom PB300 Powerbank with 10000mAh Battery, 22.5w Fast Charging, 12-Layer Smart IC Protection, LED Indicators and Aluminum Alloy Casing(Burgundy)","1,198",4.0 out of 5 stars
